symbol	kind	file	line	end_line	loc	parent	base
SpawnStrikeSequence	method	Scripts/Game/Entities/CRF_MortarStrikeController.c	383	383	1	CRF_MortarStrikeController	
SpawnSingleStrike	method	Scripts/Game/Entities/CRF_MortarStrikeController.c	418	418	1	CRF_MortarStrikeController	
GetRandomPositionInRadius	method	Scripts/Game/Entities/CRF_MortarStrikeController.c	508	508	1	CRF_MortarStrikeController	
CRF_EGamemode	enum	Scripts/Game/GameMode/CRF_Gamemode_Enums.c	2	18	17		
CRF_XPHandlerComponentClass	class	Scripts/Game/GameMode/CRF_XPHandlerComponent.c	1	1	1		SCR_XPHandlerComponentClass
CRF_XPHandlerComponent	class	Scripts/Game/GameMode/CRF_XPHandlerComponent.c	26	76	51		SCR_XPHandlerComponent
OnPostInit	method	Scripts/Game/GameMode/CRF_XPHandlerComponent.c	30	30	1	CRF_XPHandlerComponent	
OnVehicleDestroyed	method	Scripts/Game/GameMode/CRF_XPHandlerComponent.c	46	46	1	CRF_XPHandlerComponent	
CRF_CacheHuntTriggerEntityClass	class	Scripts/Game/GameMode/CacheHunt/CRF_CacheHuntTrigger.c	1	1	1		SCR_BaseTriggerEntityClass
CRF_CacheHuntTriggerEntity	class	Scripts/Game/GameMode/CacheHunt/CRF_CacheHuntTrigger.c	3	25	23		SCR_BaseTriggerEntity
Print	method	Scripts/Game/GameMode/CacheHunt/CRF_CacheHuntTrigger.c	9	9	1	CRF_CacheHuntTriggerEntity	
OnActivate	method	Scripts/Game/GameMode/CacheHunt/CRF_CacheHuntTrigger.c	19	19	1	CRF_CacheHuntTriggerEntity	
CRF_Frontline_HUD	class	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Display.c	1	215	215		SCR_InfoDisplayExtended
DisplayUpdate	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Display.c	36	36	1	CRF_Frontline_HUD	
ProcessEntity	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Display.c	204	204	1	CRF_Frontline_HUD	
CRF_FrontlineGamemodeManagerClass	class	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	2	5	4		SCR_BaseGameModeComponentClass
CRF_FrontlineGamemodeManager	class	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	7	820	814		SCR_BaseGameModeComponent
CRF_FrontlineGamemodeManager	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	76	76	1	CRF_FrontlineGamemodeManager	
GetInstance	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	83	83	1	CRF_FrontlineGamemodeManager	
GetHudMessage	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	93	93	1	CRF_FrontlineGamemodeManager	
GetZonesStatus	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	99	99	1	CRF_FrontlineGamemodeManager	
OnPostInit	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	105	105	1	CRF_FrontlineGamemodeManager	
EOnInit	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	112	112	1	CRF_FrontlineGamemodeManager	
EOnFixedFrame	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	127	127	1	CRF_FrontlineGamemodeManager	
RpcDo_UpdateHudMessage	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	154	154	1	CRF_FrontlineGamemodeManager	
RpcDo_UpdateZoneStatus	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	161	161	1	CRF_FrontlineGamemodeManager	
RpcDo_UpdateMultipleZones	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	172	172	1	CRF_FrontlineGamemodeManager	
RpcDo_PlayRadioSound	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	188	188	1	CRF_FrontlineGamemodeManager	
RpcDo_PlayAlertSound	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	196	196	1	CRF_FrontlineGamemodeManager	
RpcDo_ClearMessages	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	204	204	1	CRF_FrontlineGamemodeManager	
CacheZoneEntities	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	217	217	1	CRF_FrontlineGamemodeManager	
CheckAddInitialMarkers	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	229	229	1	CRF_FrontlineGamemodeManager	
SetupZoneStatus	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	242	242	1	CRF_FrontlineGamemodeManager	
StartGame	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	261	261	1	CRF_FrontlineGamemodeManager	
UpdateZones	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	294	294	1	CRF_FrontlineGamemodeManager	
ProcessEntity	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	437	437	1	CRF_FrontlineGamemodeManager	
CheckStartCaptureZone	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	452	452	1	CRF_FrontlineGamemodeManager	
ZoneCaptured	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	489	489	1	CRF_FrontlineGamemodeManager	
UnlockZoneDelay	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	567	567	1	CRF_FrontlineGamemodeManager	
UnlockZone	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	575	575	1	CRF_FrontlineGamemodeManager	
ConvertIndexToZoneString	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	697	697	1	CRF_FrontlineGamemodeManager	
ResetMessage	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	733	733	1	CRF_FrontlineGamemodeManager	
UpdateClients	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	745	745	1	CRF_FrontlineGamemodeManager	
UpdateMapMarkers	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	758	758	1	CRF_FrontlineGamemodeManager	
PlayRadioSound	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	810	810	1	CRF_FrontlineGamemodeManager	
PlayAlertSound	method	Scripts/Game/GameMode/FrontLine/CRF_Frontline_Game.c	816	816	1	CRF_FrontlineGamemodeManager	
CRF_HVTFaction	enum	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	22	29	8		
CRF_TargetType	enum	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	32	36	5		
CRF_HVTEntryType	enum	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	38	43	6		
CRF_HVTEntry	class	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	47	87	41		
GetFactionKey	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	64	64	1	CRF_HVTEntry	
GetMarkerColor	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	76	76	1	CRF_HVTEntry	
CRF_HighValueTargetGamemodeManagerClass	class	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	93	96	4		SCR_BaseGameModeComponentClass
CRF_HighValueTargetGamemodeManager	class	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	97	805	709		SCR_BaseGameModeComponent
OnPostInit	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	177	177	1	CRF_HighValueTargetGamemodeManager	
EOnFixedFrame	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	186	186	1	CRF_HighValueTargetGamemodeManager	
SetHVTAndState	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	246	246	1	CRF_HighValueTargetGamemodeManager	
RegisterPlayerHVTs	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	324	324	1	CRF_HighValueTargetGamemodeManager	
FindAndRegisterPlayerHVT	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	343	343	1	CRF_HighValueTargetGamemodeManager	
RegisterHVTEntity	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	402	402	1	CRF_HighValueTargetGamemodeManager	
OnHVTDeath	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	426	426	1	CRF_HighValueTargetGamemodeManager	
OnDeadHVTHintReplicated	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	481	481	1	CRF_HighValueTargetGamemodeManager	
GameInit	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	498	498	1	CRF_HighValueTargetGamemodeManager	
UpdateHVTPositions	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	547	547	1	CRF_HighValueTargetGamemodeManager	
IsHVTAlive	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	578	578	1	CRF_HighValueTargetGamemodeManager	
SyncTransponderPositions	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	595	595	1	CRF_HighValueTargetGamemodeManager	
SetEntityUnconscious	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	675	675	1	CRF_HighValueTargetGamemodeManager	
OnLifeStateChangedWrapper	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	693	693	1	CRF_HighValueTargetGamemodeManager	
FindHVTInRange	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	727	727	1	CRF_HighValueTargetGamemodeManager	
CountHVTsInRange	method	Scripts/Game/GameMode/High Value Target/CRF_HighValueTarget_Game.c	771	771	1	CRF_HighValueTargetGamemodeManager	
CRF_InsDestructiveComponentClass	class	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	1	1	1		ScriptComponentClass
CRF_InsDestructiveComponent	class	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	2	246	245		ScriptComponent
OnPostInit	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	34	34	1	CRF_InsDestructiveComponent	
InitialActivationDeferred	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	73	73	1	CRF_InsDestructiveComponent	
OnDamageStateChanged	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	90	90	1	CRF_InsDestructiveComponent	
SetCacheActive	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	115	115	1	CRF_InsDestructiveComponent	
OnActiveStateReplicated	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	124	124	1	CRF_InsDestructiveComponent	
OnDestroyedStateReplicated	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	133	133	1	CRF_InsDestructiveComponent	
ApplyCacheVisibility	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	140	140	1	CRF_InsDestructiveComponent	
UpdateCacheMarker	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	162	162	1	CRF_InsDestructiveComponent	
IsCacheActive	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	204	204	1	CRF_InsDestructiveComponent	
GetCachePhase	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	210	210	1	CRF_InsDestructiveComponent	
OnDelete	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	216	216	1	CRF_InsDestructiveComponent	
IsCacheDestroyed	method	Scripts/Game/GameMode/Insurgency/CRF_InsDesctrucitveComponent.c	236	236	1	CRF_InsDestructiveComponent	
CRF_InsurgencyGamemodeManagerClass	class	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	2	2	1		SCR_BaseGameModeComponentClass
CRF_InsurgencyGamemodeManager	class	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	4	458	455		SCR_BaseGameModeComponent
CRF_InsurgencyGamemodeManager	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	47	47	1	CRF_InsurgencyGamemodeManager	
GetInstance	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	53	53	1	CRF_InsurgencyGamemodeManager	
GetBroadcastManager	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	60	60	1	CRF_InsurgencyGamemodeManager	
GetRespawnManager	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	67	67	1	CRF_InsurgencyGamemodeManager	
GetGamemodeManager	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	74	74	1	CRF_InsurgencyGamemodeManager	
OnPostInit	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	82	82	1	CRF_InsurgencyGamemodeManager	
RegisterCacheObjective	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	91	91	1	CRF_InsurgencyGamemodeManager	
OnCacheDestroyed	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	135	135	1	CRF_InsurgencyGamemodeManager	
CheckPhaseCompletion	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	189	189	1	CRF_InsurgencyGamemodeManager	
ActivateNextPhase	method	Scripts/Game/GameMode/Insurgency/CRF_Insurgency_Game.c	222	222	1	CRF_InsurgencyGamemodeManager	
